Date,Units,Assets
2024-06-20,3236609,248345.00
2024-06-23,3233332,246315.00
2024-06-24,3229649,245518.00
2024-06-25,3229649,249038.00
2024-06-26,3226663,251583.00
2024-06-27,3225813,248581.00
2024-06-30,3224879,247993.00
2024-07-01,3223795,247168.00
2024-07-02,3221232,245748.00
2024-07-03,3211131,246711.00
2024-07-04,3211019,257267.00
2024-07-07,3213175,271192.00
2024-07-08,3237092,267319.00
2024-07-09,3236040,272701.00
2024-07-10,3234779,271754.00
2024-07-11,3235514,279354.00
2024-07-14,3240823,282794.00
2024-07-15,3251208,283635.00
2024-07-16,3264793,285147.00
2024-07-17,3270134,286627.00
2024-07-18,3268269,287934.00
2024-07-21,3299726,288627.00
2024-07-22,3336156,289211.00
2024-07-23,3336149,293748.00
2024-07-24,3345660,300005.00
2024-07-25,3686787,327239.00
2024-07-28,3689053,313570.00
2024-07-29,3470476,292457.00
2024-07-30,3465662,288412.00
2024-07-31,3458237,286584.00
2024-08-01,3462976,279324.00
2024-08-04,3442244,276481.00
2024-08-05,3442118,277710.00
2024-08-06,3308398,272612.00
2024-08-07,3309313,282351.00
2024-08-08,3336239,285716.00
2024-08-11,3335686,286269.00
2024-08-12,3334937,277200.00
2024-08-14,3321605,280676.00
2024-08-15,3318612,284637.00
2024-08-18,3301961,285455.00
2024-08-19,3302182,283096.00
2024-08-20,3303749,283131.00
2024-08-21,3302295,278185.00
2024-08-22,3303038,280098.00
2024-08-25,3300044,286840.00
2024-08-26,3303687,290130.00
2024-08-27,3306811,291462.00
2024-08-28,3305484,293229.00
2024-08-29,3304217,292423.00
2024-09-01,3303677,289501.00
2024-09-02,3304690,291308.00
2024-09-03,3270166,285485.00
2024-09-04,3238154,282302.00
2024-09-05,3221882,288133.00
2024-09-08,3175591,281135.00
2024-09-09,3164673,275200.00
2024-09-10,3165334,277252.00
2024-09-11,3169144,279202.00
2024-09-12,3170177,280846.00
2024-09-15,3157495,279280.00
2024-09-16,3157716,271343.00
2024-09-17,3147130,264044.00
2024-09-18,3145686,265213.00
2024-09-19,3141483,262000.00
2024-09-22,3140752,263446.00
2024-09-23,3139859,263717.00
2024-09-24,3140895,272818.00
2024-09-25,3140640,273361.00
2024-09-26,3143511,277478.00
2024-09-29,3141278,283406.00
2024-09-30,3142118,284864.00
2024-10-01,3140879,283402.00
2024-10-06,3143622,282172.00
2024-10-07,3142218,281009.00
2024-10-08,3141850,280222.00
2024-10-09,3143601,282641.00
2024-10-10,3144142,278257.00
2024-10-13,3127831,278314.00
2024-10-14,3126909,280953.00
2024-10-15,3122454,282270.00
2024-10-20,3120863,290833.00
2024-10-21,3121485,288737.00
2024-10-22,3125704,285346.00
2024-10-27,3132751,292129.00
2024-10-28,3145848,292469.00
2024-10-29,3154855,294285.00
2024-10-30,3161629,306014.00
